id,father,mother,gender,trait,SNP_01,SNP_02,SNP_03,SNP_04,SNP_05,SNP_06,SNP_07,SNP_08,SNP_09,SNP_10,SNP_11,SNP_12,SNP_13,SNP_14,SNP_15,class
TRAIN_055,0,0,0,2,G G,A A,C A,G A,C A,G G,A A,G A,G A,G G,A G,A A,A G,A A,A A,B
TRAIN_056,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,C A,G G,A
TRAIN_057,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G G,G G,C C,G A,A
TRAIN_058,0,0,0,2,G G,A G,C C,A A,A A,G G,A A,A A,A A,G G,A A,A A,G G,A A,G A,C
TRAIN_059,0,0,0,2,A A,A A,C A,A A,C A,A A,A A,G A,A A,A A,A A,A A,A G,A A,A A,C
TRAIN_060,0,0,0,2,G G,A G,C C,A A,C C,G G,A A,G G,A A,G G,A G,A A,G G,A A,A A,B
TRAIN_061,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,G A,A A,A G,G G,G G,G G,A A,G G,A
TRAIN_062,0,0,0,2,A A,A G,A A,A A,C A,G G,A A,A A,A A,G G,A G,G A,A G,C A,A A,C
TRAIN_063,0,0,0,2,A G,A A,A A,A A,C A,A A,A A,G A,A A,G G,A A,A A,G G,A A,A A,C
TRAIN_064,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,G A,A G,G G,G G,G G,C A,G G,A
TRAIN_065,0,0,0,2,A A,A A,A A,A A,C A,G G,A A,A A,A A,G G,A A,G A,G G,A A,G A,C
TRAIN_066,0,0,0,2,G G,A A,C C,A A,C A,A A,G A,G A,A A,G G,A A,G A,A G,A A,A A,C
TRAIN_067,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G G,G G,C C,G G,A
TRAIN_068,0,0,0,2,G G,G G,C A,G G,C A,A G,A A,G G,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_069,0,0,0,2,G G,A A,A A,A A,A A,A A,G A,G A,A A,G G,A G,A A,G G,A A,A A,C
TRAIN_070,0,0,0,2,A G,A A,C A,A A,C A,A G,A A,G A,A A,A G,A A,A A,G G,A A,A A,C
TRAIN_071,0,0,0,2,A G,A G,C A,A A,C A,A G,A A,A A,A A,A G,A G,A A,G G,C A,G A,C
TRAIN_072,0,0,0,1,A A,G G,A A,G A,C A,G G,G A,A A,G A,A A,G G,G G,G G,C C,G G,A
TRAIN_073,0,0,0,2,A G,A A,A A,G A,C A,G G,A A,G G,A A,G G,A G,A A,G G,A A,G A,B
TRAIN_074,0,0,0,2,G G,A G,C A,G A,C C,A A,A A,G A,A A,G G,A G,A A,G G,A A,G A,B
TRAIN_075,0,0,0,2,A G,G G,C A,A A,C A,A G,A A,G G,A A,G G,A G,G A,A A,A A,G A,B
TRAIN_076,0,0,0,2,G G,A A,A A,G A,A A,A G,A A,G G,G A,A G,A A,A A,G G,C A,A A,C
TRAIN_077,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G A,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_078,0,0,0,2,G G,A A,C A,A A,C A,A A,G A,G G,A A,G G,A A,A A,A G,A A,G A,C
TRAIN_079,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,A A,A A,G G,G G,G G,C A,G G,A
TRAIN_080,0,0,0,2,A G,G G,C A,A A,C C,A G,A A,G A,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_081,0,0,0,2,G G,A G,C A,A A,C C,A G,A A,A A,G A,G G,A A,G A,A G,A A,A A,B
TRAIN_082,0,0,0,2,A G,A A,A A,A A,C A,A G,A A,A A,A A,A A,A A,A A,A G,C A,A A,C
TRAIN_083,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,G A,A A,G G,G G,G G,C C,G G,A
TRAIN_084,0,0,0,2,G G,A A,C C,A A,A A,A A,G A,G G,A A,G G,A A,G A,G G,A A,A A,C
TRAIN_085,0,0,0,1,A A,G G,A A,G A,A A,A G,G A,A A,A A,A G,G G,G G,G G,C C,G A,A
TRAIN_086,0,0,0,2,G G,A A,C A,A A,C C,A A,A A,A A,A A,A A,A G,A A,A A,C C,A A,C
TRAIN_087,0,0,0,2,G G,A A,C A,A A,A A,A G,A A,G A,A A,G G,A G,A A,A G,A A,G A,C
TRAIN_088,0,0,0,2,G G,A G,A A,A A,C A,A G,G A,G A,A A,G G,A G,A A,A A,A A,G A,C
TRAIN_089,0,0,0,2,G G,G G,A A,A A,C A,A A,A A,G A,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_090,0,0,0,2,G G,A G,C A,A A,C A,G G,A A,G G,G A,G G,A G,G A,A A,A A,A A,B
TRAIN_091,0,0,0,2,G G,G G,C C,G A,C C,A G,G A,G G,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_092,0,0,0,2,G G,A A,C C,A A,A A,A G,A A,G A,A A,G G,A A,A A,G G,A A,G G,C
TRAIN_093,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G A,A A,G G,A G,A A,A A,A A,G G,C
TRAIN_094,0,0,0,2,G G,A G,C A,A A,C C,A A,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_095,0,0,0,2,G G,A G,C A,A A,C C,A G,A A,G A,G A,G G,A A,A A,A A,A A,A A,B
TRAIN_096,0,0,0,2,A G,A G,C C,G A,A A,A A,A A,G G,A A,G G,A A,G A,G G,C A,G A,C
TRAIN_097,0,0,0,1,A A,G G,A A,G A,C A,A G,G A,G A,A A,A G,G G,G G,G G,C A,G G,A
TRAIN_098,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,A A,G G,G G,G A,G G,C A,G A,A
TRAIN_099,0,0,0,2,A G,G G,C C,A A,C C,A G,A A,G G,G A,G G,G G,G A,A G,A A,G A,B
TRAIN_100,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G A,G G,C A,G A,A
TRAIN_101,0,0,0,2,G G,G G,C C,G A,C C,A G,A A,G G,A A,G G,G G,G A,A G,A A,G A,B
TRAIN_102,0,0,0,1,A G,G G,A A,G G,C A,A G,G A,A A,G A,A A,G G,G A,G G,C A,A A,A
TRAIN_103,0,0,0,2,G G,A A,C A,A A,C C,A G,A A,G G,A A,G G,A A,A A,A G,A A,G A,B
TRAIN_104,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G A,G G,C A,G G,A
TRAIN_105,0,0,0,2,A G,G G,C A,A A,A A,A G,A A,G G,A A,G G,A A,G A,A A,A A,A A,B
TRAIN_106,0,0,0,1,G G,G G,A A,G A,A A,A G,G G,A A,A A,A G,G G,G G,G G,C A,G G,A
TRAIN_107,0,0,0,2,G G,A A,C A,G A,C A,G G,A A,G G,A A,G G,A G,G G,G G,A A,A A,B
TRAIN_108,0,0,0,2,G G,A A,C A,A A,A A,A G,A A,G G,A A,G G,G G,A A,G G,A A,A A,B
TRAIN_109,0,0,0,2,A G,A A,C C,G A,C A,A G,A A,A A,A A,G G,A A,A A,G G,A A,G A,C
TRAIN_110,0,0,0,2,G G,A A,C A,G A,A A,A G,A A,G G,A A,G G,A A,A A,A G,A A,G A,B
TRAIN_111,0,0,0,2,G G,A G,C C,G A,C C,A A,A A,G A,A A,G G,A G,G A,A G,A A,G A,B
TRAIN_112,0,0,0,2,A G,A G,C A,G G,C C,A G,A A,G G,A A,A G,A A,A A,A A,A A,G A,B
TRAIN_113,0,0,0,2,A G,A G,C C,A A,C C,A G,A A,G G,G A,G G,A G,G A,A A,A A,A A,B
TRAIN_114,0,0,0,2,G G,G G,C A,A A,C A,A G,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_115,0,0,0,2,G G,A G,C A,A A,A A,A G,A A,G A,A A,G G,A G,G A,A G,A A,A A,B
TRAIN_116,0,0,0,2,G G,A G,A A,G G,C C,A A,A A,G A,A A,G G,A A,A A,A A,A A,A A,B
TRAIN_117,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A A,G G,G G,G G,C C,G G,A
TRAIN_118,0,0,0,2,A G,G G,A A,A A,C A,G G,A A,A A,A A,A A,A G,A A,A G,A A,G A,C
TRAIN_119,0,0,0,2,A G,G G,C A,G A,A A,A A,A A,G G,A A,G G,A A,G A,A G,A A,G A,C
TRAIN_120,0,0,0,2,G G,A G,C A,G A,C C,A A,A A,A A,A A,G G,G G,A A,G G,A A,A A,B
TRAIN_121,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G G,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_122,0,0,0,2,G G,A A,A A,A A,C A,G G,A A,G A,A A,A A,G G,A A,A G,A A,G A,C
TRAIN_123,0,0,0,1,A G,A G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G A,G G,C A,G A,A
TRAIN_124,0,0,0,1,A A,G G,A A,G G,A A,A G,G A,A A,G G,A A,G G,G G,G G,C C,G G,A
TRAIN_125,0,0,0,2,G G,G G,C A,G A,C C,A A,A A,G G,A A,G G,A A,A A,A A,A A,G A,B
TRAIN_126,0,0,0,2,G G,G G,C A,G A,C A,A G,A A,G A,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_127,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,G A,G A,A G,G G,G A,G G,C A,G A,A
TRAIN_128,0,0,0,2,G G,A G,A A,A A,C A,A G,A A,G A,A A,A G,A A,G A,A G,A A,G A,C
TRAIN_129,0,0,0,2,G G,A G,C A,A A,A A,A G,G A,G A,A A,G G,A G,A A,A A,A A,A A,C
TRAIN_130,0,0,0,2,G G,A G,C A,A A,C A,A G,A A,A A,A A,A G,A A,G A,G G,A A,G A,C
TRAIN_131,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,G A,G A,A G,G G,G A,G G,A A,G A,A
TRAIN_132,0,0,0,2,G G,G G,C C,G A,C A,G G,A A,G G,A A,G G,G G,A A,G G,A A,G A,B
TRAIN_133,0,0,0,2,G G,A G,C A,A A,C C,G G,A A,A A,A A,A A,A A,G A,G G,A A,G A,C
TRAIN_134,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A G,A G,G G,G G,C C,G G,A
TRAIN_135,0,0,0,2,G G,A G,C C,A A,C C,A A,A A,G G,G A,G G,A G,G A,G G,A A,A A,B
TRAIN_136,0,0,0,2,A G,A G,A A,A A,C C,G G,A A,A A,A A,A G,A G,A A,A G,C A,G A,C
TRAIN_137,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,G A,A A,A A,G G,G A,G G,C A,G A,A
TRAIN_138,0,0,0,2,A A,A G,C A,A A,A A,A G,A A,G A,A A,G G,A A,A A,A A,A A,A A,C
TRAIN_139,0,0,0,2,G G,G G,C A,G A,C C,A A,A A,G G,A A,G G,A A,A A,A A,A A,G A,B
TRAIN_140,0,0,0,2,G G,G G,C A,G A,C C,A G,G A,G G,A A,G G,A G,A A,A A,A A,G A,B
TRAIN_141,0,0,0,2,G G,A G,C A,A A,A A,A G,A A,G A,A A,A G,A G,A A,G G,C A,G G,C
TRAIN_142,0,0,0,2,A G,A G,A A,A A,C A,A G,A A,A A,A A,A G,A G,A A,A G,C A,G A,C
TRAIN_143,0,0,0,2,A G,A G,A A,G G,C C,A G,A A,G G,A A,G G,A A,A A,A A,A A,A A,B
TRAIN_144,0,0,0,2,G G,A G,C A,A A,C C,A A,A A,G A,A A,G G,A A,A A,A A,A A,G A,B
TRAIN_145,0,0,0,2,A G,A A,C A,A A,C C,A A,A A,G G,G A,G G,G G,A A,A A,A A,G A,B
TRAIN_146,0,0,0,2,A G,A A,A A,A A,C A,A A,A A,G A,A A,A A,A A,A A,A G,C A,G A,C
TRAIN_147,0,0,0,2,A G,A G,C A,A A,C C,A A,A A,A A,A A,A G,A G,A A,G G,C A,G A,C
TRAIN_148,0,0,0,1,A G,G G,A A,G A,C A,A G,G A,A A,G A,A A,G G,G A,G G,C A,A A,A
TRAIN_149,0,0,0,2,G G,A G,C C,A A,C C,A A,A A,G G,G A,G G,G G,A A,A A,A A,G A,B
TRAIN_150,0,0,0,1,G G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,C A,G G,A
TRAIN_151,0,0,0,2,A G,A G,C A,A A,C A,A G,A A,G A,A A,A G,A A,A A,A A,A A,G A,C
TRAIN_152,0,0,0,2,G G,A A,C A,A A,C A,A G,A A,G A,A A,G G,A G,G A,A G,A A,A A,C
TRAIN_153,0,0,0,2,A G,A A,C A,A A,A A,A G,G A,G A,A A,G G,A A,A A,G G,A A,A A,C
TRAIN_154,0,0,0,2,A G,A G,C C,A A,C A,A G,A A,G G,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_155,0,0,0,1,A A,G G,A A,A A,A A,A G,G G,G A,A A,A G,G G,G G,G G,C A,G G,A
TRAIN_156,0,0,0,2,G G,A G,C C,G A,C C,A A,A A,G A,A A,G G,G G,A A,A G,A A,A A,B
TRAIN_157,0,0,0,2,G G,G G,C A,A A,C C,G G,A A,G A,G A,G G,G G,A A,A G,A A,A A,B
TRAIN_158,0,0,0,2,G G,G G,C A,G G,C A,G G,A A,G G,A A,G G,G G,A A,G G,A A,G A,B
TRAIN_159,0,0,0,2,G G,G G,C A,G A,C C,A G,G A,G A,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_160,0,0,0,2,A G,A A,C C,G A,C C,A G,A A,G A,A A,G G,A A,G A,A G,A A,A A,B
TRAIN_161,0,0,0,1,A A,G G,A A,G A,C A,A G,G A,A A,G A,A A,A G,G G,G G,C A,G A,A
TRAIN_162,0,0,0,2,G G,G G,C C,A A,C C,A G,A A,G A,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_163,0,0,0,2,A G,G G,C A,A A,C C,A G,A A,A A,A A,G G,A A,A A,A G,C A,G A,C
TRAIN_164,0,0,0,2,G G,A G,C A,G A,C A,G G,A A,G A,G A,G G,A G,A A,G G,A A,A A,B
TRAIN_165,0,0,0,2,G G,A G,A A,A A,C A,A G,A A,A A,G A,G G,A A,A A,A A,A A,A A,B
TRAIN_166,0,0,0,2,G G,A G,A A,G A,C C,A G,A A,G A,A A,G G,G G,A A,A A,A A,A A,B
TRAIN_167,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,G A,G A,A G,G G,G G,G G,C A,G G,A
TRAIN_168,0,0,0,1,G G,G G,A A,G G,A A,G G,G G,A A,G A,A A,G G,G G,G G,C C,G A,A
TRAIN_169,0,0,0,2,G G,A A,C A,A A,C A,A A,A A,G A,A A,A A,A A,A A,A G,A A,G A,C
TRAIN_170,0,0,0,2,A G,A A,C C,A A,A A,A A,G A,G G,A A,A G,A A,A A,G G,A A,G A,C
TRAIN_171,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G A,G G,C C,G A,A
TRAIN_172,0,0,0,1,A G,A G,A A,G A,C A,A G,G A,A A,G A,A G,G G,G G,G G,C A,G G,A
TRAIN_173,0,0,0,2,G G,A G,A A,A A,A A,A A,G A,G G,A A,G G,A G,G A,A G,A A,A A,C
TRAIN_174,0,0,0,2,G G,A G,A A,A A,A A,A G,A A,G A,A A,G G,A A,G A,A G,A A,A A,C
TRAIN_175,0,0,0,2,G G,A A,C A,A A,C C,A G,A A,G A,A A,A G,A A,A A,A G,A A,G G,C
TRAIN_176,0,0,0,2,G G,A G,C C,A A,A A,A G,A A,G A,A A,A G,A A,A A,G G,A A,G A,C
TRAIN_177,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A G,A G,G G,G G,C A,G G,A
TRAIN_178,0,0,0,2,A G,A G,A A,A A,A A,A A,G A,G G,A A,A G,A A,A A,A G,A A,A A,C
TRAIN_179,0,0,0,1,A G,G G,A A,G A,C A,A G,G A,A A,G A,A G,A G,G G,G G,C C,G G,A
TRAIN_180,0,0,0,1,A A,G G,A A,G A,C A,A G,G A,A A,A A,A G,G G,G G,G G,C C,A A,A
TRAIN_181,0,0,0,2,G G,A A,A A,A A,C C,A A,A A,A A,A A,A G,A G,A A,A A,C A,A A,C
TRAIN_182,0,0,0,1,A A,G G,A A,G A,A A,A G,G A,A A,G A,A A,G G,G G,A G,C C,G G,A
TRAIN_183,0,0,0,2,A G,A A,A A,A A,C A,A G,A A,A A,A A,A G,A G,G A,G G,A A,G A,C
TRAIN_184,0,0,0,2,A G,A A,C A,G A,A A,A A,G A,G G,A A,G G,A G,A A,A G,C A,A A,C
TRAIN_185,0,0,0,2,A G,A A,A A,A A,C C,A A,A A,G G,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_186,0,0,0,2,A G,A G,C A,A A,C C,A G,A A,G G,A A,G G,G G,G A,A A,A A,A A,B
TRAIN_187,0,0,0,2,G G,A G,A A,A A,C A,A A,A A,G A,A A,G G,A A,G G,G G,A A,A A,C
TRAIN_188,0,0,0,2,G G,G G,C C,A A,C A,A G,A A,G G,A A,G G,A A,G G,A A,A A,A A,B
TRAIN_189,0,0,0,2,G G,A A,C A,A A,A A,A G,A A,G A,A A,A G,A A,A A,A G,A A,A A,C
TRAIN_190,0,0,0,2,G G,A A,A A,G A,C A,A G,G A,G A,A A,G G,A A,A A,A G,C A,A A,C
TRAIN_191,0,0,0,2,G G,A G,A A,A A,C C,A A,A A,G G,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_192,0,0,0,2,G G,A G,A A,A A,C C,A G,A A,A A,A A,G G,G G,A A,A G,A A,A A,B
TRAIN_193,0,0,0,2,G G,A G,C C,G A,C C,A A,A A,G G,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_194,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A G,A G,G G,G G,C A,G G,A
TRAIN_195,0,0,0,2,G G,A G,C A,G A,C C,G G,A A,G A,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_196,0,0,0,2,A G,A A,C A,G A,C A,G G,A A,G G,A A,G G,A A,A A,A A,A A,A A,B
TRAIN_197,0,0,0,2,G G,A A,A A,G A,C A,G G,A A,G A,A A,G G,A A,A A,A G,C C,G A,C
TRAIN_198,0,0,0,2,G G,A G,C A,A A,C C,A A,A A,G G,G A,G G,G G,A A,A G,A A,G A,B
TRAIN_199,0,0,0,2,G G,A A,C A,A A,C A,A A,G A,G A,A A,G G,G G,G A,A G,A A,A A,C
TRAIN_200,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A G,A G,G A,G G,C A,A A,A
TRAIN_201,0,0,0,2,G G,G G,A A,A A,C C,G G,A A,A A,G G,G G,A A,G A,A G,A A,A A,B
TRAIN_202,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A A,A G,G G,G G,C A,G G,A
TRAIN_203,0,0,0,2,G G,A A,C A,A A,C C,A A,A A,G G,A A,G G,G G,G A,A G,A A,G A,B
TRAIN_204,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G A,A G,G G,G G,G G,A A,G G,A
TRAIN_205,0,0,0,2,A G,A G,C A,A A,C A,A G,A A,G A,A A,G G,G G,G A,G G,A A,G A,C
TRAIN_206,0,0,0,2,G G,A G,C A,A A,A A,A A,G A,G G,A A,G G,A A,A A,A G,A A,A A,C
TRAIN_207,0,0,0,2,G G,A G,C A,G G,C A,G G,A A,G A,G A,G G,A G,A A,A G,A A,A A,B
TRAIN_208,0,0,0,2,G G,A A,C A,A A,A A,A G,A A,G G,A A,G G,A A,A A,A G,C A,G G,C
TRAIN_209,0,0,0,2,A G,A A,C C,G G,C A,A G,A A,G G,A A,G G,A G,G A,A G,A A,A A,B
TRAIN_210,0,0,0,2,G G,G G,C C,A A,A A,A G,A A,G A,A A,A G,A A,G A,G G,A A,G A,C
TRAIN_211,0,0,0,2,A G,A G,C A,A A,C C,A G,A A,G A,G A,G G,A G,G A,A A,A A,A A,B
TRAIN_212,0,0,0,1,A A,G G,A A,G A,C A,A G,G A,A A,G A,G G,A G,G A,G G,A A,G A,A
TRAIN_213,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A G,G G,G A,G G,C A,G G,A
TRAIN_214,0,0,0,2,G G,A A,C C,A A,C C,A G,A A,G G,A A,G G,A A,A A,A G,A A,G A,B
TRAIN_215,0,0,0,2,A G,A G,C C,A A,A A,A G,A A,G A,A A,G G,A A,G A,A G,C A,A A,C
TRAIN_216,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,C C,G A,A
TRAIN_217,0,0,0,1,A G,G G,A A,G A,A A,A G,G G,A A,G G,A A,G G,G G,G G,C A,G A,A
